Query,Expected Ground Truth,System Generated Response,BLEU Score,ROUGE-L Score,Review Status
What are the two main crop seasons?,The two main crop seasons are Kharif crops and Rabi crops.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
Define pasteurisation.,The process of heating milk to about 70 degree Celsius for 15 to 30 seconds and then suddenly chilling it to prevent microbe growth.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0317,Needs Alignment Review
What is a polymer?,A polymer is a large unit formed by combining many small chemical units together.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
Name a liquid metal.,Mercury is a liquid metal.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
What is the process of loosening and turning the soil called?,The process of loosening and turning the soil is called tilling or ploughing.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0385,Needs Alignment Review
What are pathogens?,Disease-causing microorganisms are called pathogens.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
What is calorific value?,The amount of heat energy produced on complete combustion of 1 kg of a fuel is called its calorific value.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
What is an ecosystem?,"An ecosystem is made of all the plants, animals and microorganisms in an area along with non-living components like climate, soil and rivers.","Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
What is weeding?,The removal of unwanted plants from a field is called weeding.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0,Needs Alignment Review
Define combustion.,A chemical process in which a substance reacts with oxygen to give off heat is called combustion.,"Pipeline Processing Error: Error code: 401 - {'error': {'message': 'Incorrect API key provided: your-api*****here. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}",0,0.0357,Needs Alignment Review
